,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,Scopus_Quartile,HJRS Category,Kmeanslabels,PCA2_labels,PCA3_labels,tSNE2_labels,IF_Quartile,cluster_labels
795,4.1,1.76,0.634,61,2.42,0.0023,Q2,PQ2,W,2,0,2,1,IF_Q3,3
812,3.9,0.887,0.624,84,2.421,0.00336,Q2,PQ2,W,2,0,2,1,IF_Q3,3
360,4.8,1.296,0.755,45,2.427,0.00083,Q2,PQ2,X,2,0,2,1,IF_Q3,3
791,4.2,1.397,0.72,50,2.435,0.00085,Q2,PQ1,X,2,0,2,1,IF_Q3,3
948,6.9,1.631,0.761,69,2.462,0.00188,Q2,PQ1,W,2,0,1,2,IF_Q3,3
1090,4.4,1.897,0.657,86,2.464,0.00216,Q2,PQ1,W,2,0,1,1,IF_Q3,3
353,5.0,1.342,0.779,32,2.468,0.00076,Q2,PQ1,X,2,0,2,1,IF_Q3,3
389,4.3,1.638,0.813,72,2.475,0.00124,Q2,PQ2,W,2,0,2,1,IF_Q3,3
796,4.1,1.234,0.557,56,2.483,0.00305,Q2,PQ1,W,2,0,2,1,IF_Q3,3
964,5.9,2.156,0.99,37,2.493,0.00069,Q1,PQ1,W,2,0,1,1,IF_Q3,3
756,5.4,1.24,0.669,69,2.5,0.00334,Q2,PQ1,W,2,0,2,1,IF_Q3,3
336,5.4,1.681,0.805,57,2.504,0.00113,Q2,PQ2,W,2,0,2,1,IF_Q3,3
937,7.2,1.88,0.995,78,2.522,0.00144,Q1,PQ1,W,0,2,1,2,IF_Q3,1
782,4.3,1.036,0.904,41,2.522,0.00046,Q2,PQ1,X,2,0,2,1,IF_Q3,3
371,4.5,1.645,0.577,79,2.524,0.00185,Q2,PQ2,W,2,0,2,1,IF_Q3,3
311,5.9,1.413,0.988,78,2.531,0.00439,Q1,PQ1,W,2,0,1,1,IF_Q3,3
1086,5.1,1.217,0.866,26,2.543,0.00079,Q2,PQ1,X,2,0,2,1,IF_Q3,3
915,9.4,2.218,1.174,22,2.553,0.00059,Q1,PQ1,W,0,2,1,2,IF_Q3,1
976,4.8,1.158,0.727,68,2.557,0.00639,Q2,PQ1,W,2,0,2,1,IF_Q3,3
326,5.6,1.032,0.832,67,2.559,0.00473,Q2,PQ1,W,2,0,2,1,IF_Q3,3
325,5.6,1.152,1.083,70,2.56,0.00106,Q1,PQ1,W,2,0,2,1,IF_Q3,3
317,5.8,1.469,1.039,122,2.565,0.00635,Q1,PQ1,W,0,2,1,2,IF_Q3,1
376,4.5,0.8,0.597,58,2.565,0.00408,Q2,PQ2,W,2,0,2,3,IF_Q3,3
344,5.3,1.055,0.716,80,2.577,0.02449,Q2,PQ1,W,2,0,2,1,IF_Q3,3
771,4.5,1.045,0.774,54,2.59,0.00157,Q2,PQ2,W,2,0,2,1,IF_Q3,3
498,2.9,1.162,0.538,43,2.592,0.0154,Q2,PQ1,W,2,0,2,3,IF_Q3,3
822,3.6,0.725,0.359,29,2.594,0.00191,Q3,PQ2,X,2,0,2,3,IF_Q3,3
412,4.0,1.115,0.633,61,2.603,0.00101,Q2,PQ1,X,2,0,2,1,IF_Q3,3
963,6.0,1.679,0.712,96,2.605,0.00104,Q2,PQ1,W,2,0,1,2,IF_Q3,3
372,4.5,1.592,1.202,120,2.617,0.00721,Q2,PQ2,W,0,2,1,2,IF_Q3,1
809,4.0,1.049,0.515,52,2.618,0.00046,Q2,PQ1,X,2,0,2,1,IF_Q3,3
329,5.6,1.124,0.836,81,2.618,0.00232,Q2,PQ1,W,2,0,2,1,IF_Q3,3
1093,3.9,1.432,0.634,43,2.619,0.00197,Q2,PQ2,W,2,0,2,1,IF_Q3,3
819,3.7,0.948,0.594,63,2.627,0.00165,Q2,PQ1,X,2,0,2,1,IF_Q3,3
285,6.5,2.015,0.894,46,2.629,0.00152,Q2,PQ1,W,2,0,1,1,IF_Q3,3
351,5.1,1.158,0.668,65,2.648,0.00324,Q2,PQ1,W,2,0,2,1,IF_Q3,3
793,4.2,0.716,0.741,74,2.648,0.00649,Q2,PQ2,W,2,0,2,3,IF_Q3,3
1022,3.0,1.138,0.587,34,2.656,0.00017,Q2,PQ2,X,2,0,2,3,IF_Q3,3
973,5.0,1.182,0.863,38,2.669,0.00216,Q1,PQ1,W,2,0,2,1,IF_Q3,3
736,6.1,0.879,0.984,113,2.67,0.01161,Q1,PQ1,W,2,0,1,2,IF_Q3,3
224,7.6,1.369,1.221,22,2.675,0.00034,Q1,PQ1,X,2,0,2,1,IF_Q3,3
297,6.2,1.389,1.083,116,2.68,0.00193,Q1,PQ1,W,0,2,1,2,IF_Q3,1
369,4.7,0.927,0.657,91,2.701,0.00484,Q2,PQ2,W,2,0,2,1,IF_Q3,3
388,4.4,1.324,0.675,26,2.708,0.00132,Q2,PQ1,X,2,0,2,1,IF_Q3,3
697,7.5,1.346,0.951,33,2.716,0.00114,Q2,PQ1,W,2,0,2,1,IF_Q3,3
949,6.8,1.986,1.276,17,2.717,0.00063,Q1,PQ1,W,2,0,1,2,IF_Q3,3
751,5.5,1.322,0.61,110,2.723,0.00219,Q2,PQ1,W,2,0,1,2,IF_Q3,3
260,6.9,3.439,1.316,41,2.723,0.00106,Q1,PQ1,W,0,2,1,2,IF_Q3,1
984,4.4,1.084,0.553,81,2.738,0.02216,Q2,PQ1,W,2,0,2,1,IF_Q3,3
1092,4.3,0.837,0.612,33,2.759,0.00048,Q2,PQ2,X,2,0,2,1,IF_Q3,3
803,4.0,1.192,0.755,31,2.762,0.00281,Q2,PQ2,W,2,0,2,1,IF_Q3,3
1088,4.9,2.209,3.02,130,2.763,0.01451,Q1,PQ1,W,0,2,1,0,IF_Q3,1
972,5.2,1.337,0.661,58,2.773,0.00071,Q2,PQ1,W,2,0,2,1,IF_Q3,3
970,5.3,1.211,0.851,40,2.775,0.0009,Q2,PQ2,W,2,0,2,1,IF_Q3,3
965,5.9,1.474,0.834,109,2.775,0.00777,Q2,PQ1,W,0,2,1,2,IF_Q3,1
761,5.1,1.21,0.713,28,2.775,0.00072,Q2,PQ1,X,2,0,2,1,IF_Q3,3
486,3.0,1.031,0.506,59,2.777,0.00097,Q3,PQ3,X,2,0,2,1,IF_Q3,3
811,3.9,0.847,0.688,27,2.78,0.00197,Q2,PQ2,W,2,0,2,1,IF_Q3,3
294,6.3,1.153,1.214,35,2.783,0.00088,Q1,PQ1,W,2,0,2,1,IF_Q3,3
365,4.7,0.949,0.599,41,2.812,0.00155,Q2,PQ1,X,2,0,2,1,IF_Q3,3
974,5.0,1.08,0.482,62,2.82,0.0014,Q3,PQ1,X,2,0,2,1,IF_Q3,3
925,8.2,2.15,1.312,95,2.821,0.00245,Q1,PQ1,W,0,2,1,2,IF_Q3,1
416,4.0,1.211,0.658,69,2.835,0.00304,Q2,PQ2,W,2,0,2,1,IF_Q3,3
952,6.7,1.442,0.884,29,2.837,0.00054,Q1,PQ1,W,2,0,2,1,IF_Q3,3
390,4.3,1.353,1.326,79,2.843,0.01469,Q1,PQ1,W,2,0,1,1,IF_Q3,3
820,3.6,1.477,0.634,25,2.843,0.00218,Q2,PQ1,W,2,0,2,1,IF_Q3,3
933,7.3,1.341,1.037,60,2.864,0.00292,Q1,PQ1,W,2,0,1,2,IF_Q3,3
746,5.7,1.06,0.814,44,2.867,0.00137,Q2,PQ1,W,2,0,2,1,IF_Q3,3
801,4.1,1.458,0.644,27,2.868,0.00365,Q2,PQ2,X,2,0,2,1,IF_Q3,3
739,6.1,1.131,0.827,84,2.887,0.00645,Q2,PQ1,W,2,0,2,1,IF_Q3,3
392,4.3,1.375,0.621,22,2.895,0.00089,Q2,PQ2,X,2,0,2,1,IF_Q3,3
485,3.1,1.39,0.523,22,2.899,0.00099,Q2,PQ2,X,2,0,2,1,IF_Q2,3
787,4.3,1.077,0.63,64,2.901,0.00217,Q2,PQ1,W,2,0,2,1,IF_Q2,3
347,5.2,1.238,0.757,72,2.948,0.00383,Q2,PQ1,W,2,0,2,1,IF_Q2,3
750,5.5,1.043,0.577,85,2.967,0.00364,Q2,PQ1,W,2,0,2,1,IF_Q2,3
733,6.2,1.735,1.731,279,2.978,0.02451,Q1,PQ1,W,0,2,1,0,IF_Q2,1
774,4.5,1.045,0.745,70,2.983,0.00187,Q2,PQ2,W,2,0,2,1,IF_Q2,3
1083,6.1,1.897,1.115,116,3.0,0.0031,Q1,PQ2,W,0,2,1,2,IF_Q2,1
1077,7.0,2.522,2.794,129,3.06,0.01578,Q1,PQ1,W,0,2,1,0,IF_Q2,1
983,4.4,1.15,0.717,98,3.072,0.00094,Q2,PQ1,W,2,0,2,1,IF_Q2,3
1000,3.9,1.319,0.393,59,3.074,0.00078,Q3,PQ2,X,2,0,2,1,IF_Q2,3
210,7.8,2.929,1.242,45,3.105,0.00208,Q1,PQ1,W,0,2,1,2,IF_Q2,1
757,5.2,1.435,1.101,54,3.105,0.00175,Q1,PQ2,W,2,0,2,2,IF_Q2,3
999,3.9,1.559,0.863,61,3.12,0.00472,Q1,PQ1,W,2,0,2,1,IF_Q2,3
439,3.7,0.999,0.83,26,3.155,0.00096,Q2,PQ1,X,2,0,2,1,IF_Q2,3
322,5.7,1.149,0.924,48,3.17,0.00418,Q1,PQ1,W,2,0,2,1,IF_Q2,3
940,7.1,1.903,1.0,88,3.18,0.00214,Q1,PQ1,W,0,2,1,2,IF_Q2,1
306,5.9,1.707,1.04,129,3.183,0.00644,Q1,PQ1,W,0,2,1,2,IF_Q2,1
1080,6.6,1.38,1.361,145,3.201,0.01878,Q1,PQ1,W,0,2,1,2,IF_Q2,1
713,6.9,0.961,0.873,65,3.206,0.00247,Q2,PQ1,W,2,0,2,1,IF_Q2,3
738,6.1,1.794,0.722,70,3.229,0.00499,Q2,PQ1,W,2,0,1,2,IF_Q2,3
953,6.7,1.667,0.769,72,3.252,0.00224,Q2,PQ1,W,2,0,1,2,IF_Q2,3
154,9.0,1.77,1.564,117,3.255,0.00478,Q1,PQ1,W,0,2,1,2,IF_Q2,1
275,6.7,1.75,1.252,61,3.265,0.00379,Q1,PQ1,W,0,2,1,2,IF_Q2,1
309,5.9,1.672,0.848,150,3.275,0.00678,Q2,PQ1,W,0,2,1,2,IF_Q2,1
768,4.6,1.708,1.078,67,3.281,0.00124,Q1,PQ1,W,2,0,1,2,IF_Q2,3
815,3.7,1.823,1.58,82,3.288,0.00319,Q1,PQ2,W,0,2,1,2,IF_Q2,1
289,6.4,1.446,1.364,88,3.293,0.00593,Q1,PQ1,W,0,2,1,2,IF_Q2,1
969,5.5,1.033,0.835,40,3.295,0.0009,Q1,PQ1,W,2,0,2,1,IF_Q2,3
766,4.6,1.387,0.833,79,3.298,0.00955,Q2,PQ1,W,2,0,2,1,IF_Q2,3
216,7.7,1.561,1.875,31,3.301,0.00336,Q1,PQ1,W,0,2,1,2,IF_Q2,1
744,5.9,1.105,1.246,218,3.307,0.03801,Q1,PQ1,W,0,2,1,0,IF_Q2,1
292,6.3,1.48,0.82,66,3.317,0.0012,Q2,PQ1,W,2,0,1,2,IF_Q2,3
743,6.0,1.88,0.975,66,3.333,0.00172,Q2,PQ1,W,2,0,1,2,IF_Q2,3
281,6.5,1.471,0.839,46,3.35,0.00053,Q2,PQ1,W,2,0,2,2,IF_Q2,3
993,4.1,0.79,0.403,58,3.364,0.00174,Q3,PQ2,X,2,0,2,1,IF_Q2,3
1087,5.0,0.916,0.728,69,3.369,0.00276,Q2,PQ2,W,2,0,2,1,IF_Q2,3
676,8.3,1.855,1.175,94,3.379,0.00441,Q1,PQ1,W,0,2,1,2,IF_Q2,1
535,2.4,0.946,0.344,28,3.401,0.00101,Q3,PQ2,X,2,0,2,1,IF_Q2,3
319,5.8,1.397,1.0,53,3.421,0.00684,Q1,PQ1,W,2,0,2,2,IF_Q2,3
959,6.2,0.814,0.607,41,3.429,0.00059,Q2,PQ1,X,2,0,2,1,IF_Q2,3
291,6.3,2.487,1.865,58,3.439,0.00608,Q1,PQ1,W,0,2,1,2,IF_Q2,1
1004,3.9,1.147,0.61,33,3.444,0.00038,Q2,PQ2,X,2,0,2,1,IF_Q2,3
958,6.3,1.34,0.68,43,3.462,0.00116,Q2,PQ1,W,2,0,2,1,IF_Q2,3
852,2.6,0.864,0.469,42,3.474,0.00038,Q3,PQ2,X,2,0,2,1,IF_Q2,3
955,6.7,1.326,0.927,158,3.476,0.24936,Q1,PQ1,W,3,3,1,0,IF_Q2,2
354,5.0,1.045,0.771,36,3.488,0.0036,Q2,PQ2,W,2,0,2,1,IF_Q2,3
690,7.7,1.602,0.907,69,3.491,0.00113,Q2,PQ1,W,0,2,1,2,IF_Q2,1
359,4.8,1.364,0.874,39,3.493,0.00298,Q2,PQ2,W,2,0,2,1,IF_Q2,3
473,3.2,1.73,0.538,41,3.503,0.00218,Q2,PQ2,X,2,0,2,1,IF_Q2,3
917,8.9,2.157,1.418,113,3.514,0.00666,Q1,PQ1,W,0,2,1,2,IF_Q2,1
198,7.9,1.197,1.872,30,3.525,0.00307,Q1,PQ1,W,2,2,1,2,IF_Q2,3
706,7.2,1.357,1.712,150,3.553,0.02527,Q1,PQ1,W,0,2,1,2,IF_Q2,1
258,7.0,2.464,2.376,135,3.557,0.00892,Q1,PQ1,W,0,2,1,0,IF_Q2,1
729,6.4,1.368,0.924,134,3.563,0.03811,Q2,PQ1,W,0,2,1,2,IF_Q2,1
961,6.1,1.078,0.777,126,3.572,0.02003,Q1,PQ1,W,0,2,1,2,IF_Q2,1
913,10.0,1.522,1.344,34,3.577,0.00095,Q1,PQ1,W,0,2,1,2,IF_Q2,1
980,4.7,1.258,0.639,80,3.601,0.00453,Q2,PQ1,W,2,0,2,1,IF_Q2,3
701,7.4,1.732,1.112,56,3.61,0.0034,Q1,PQ1,W,0,2,1,2,IF_Q2,1
725,6.5,1.651,1.071,34,3.63,0.00296,Q1,PQ1,W,2,0,1,2,IF_Q2,3
748,5.6,2.922,1.328,58,3.633,0.00228,Q1,PQ1,W,0,2,1,2,IF_Q2,1
189,8.3,2.921,1.485,123,3.635,0.00457,Q1,PQ1,W,0,2,1,2,IF_Q2,1
956,6.5,1.69,0.913,52,3.662,0.00821,Q1,PQ1,W,2,0,1,2,IF_Q2,3
710,7.1,1.784,0.777,40,3.683,0.00069,Q2,PQ1,W,2,0,1,2,IF_Q2,3
1079,6.7,2.472,1.7,80,3.685,0.00089,Q1,PQ1,W,0,2,1,2,IF_Q2,1
683,8.1,1.684,1.202,126,3.7,0.00734,Q1,PQ1,W,0,2,1,2,IF_Q2,1
242,7.4,1.257,0.765,41,3.727,0.00051,Q2,PQ1,X,2,0,2,2,IF_Q2,3
1082,6.3,1.379,0.879,90,3.732,0.01909,Q2,PQ1,W,0,2,1,2,IF_Q2,1
681,8.1,1.563,1.111,66,3.739,0.00442,Q1,PQ1,W,0,2,1,2,IF_Q2,1
754,5.4,1.899,0.994,29,3.739,0.00081,Q1,PQ1,W,2,0,2,2,IF_Q2,3
316,5.8,1.782,1.647,123,3.746,0.00305,Q1,PQ1,W,0,2,1,2,IF_Q2,1
247,7.2,1.708,1.304,146,3.757,0.00818,Q1,PQ1,W,0,2,1,2,IF_Q2,1
712,7.0,1.964,1.491,98,3.761,0.00358,Q1,PQ1,W,0,2,1,2,IF_Q2,1
1076,8.2,2.458,1.89,79,3.762,0.00487,Q1,PQ1,W,0,2,1,2,IF_Q2,1
749,5.6,1.62,0.929,123,3.801,0.01406,Q2,PQ1,W,0,2,1,2,IF_Q2,1
945,6.9,2.355,1.11,57,3.802,0.0027,Q1,PQ1,W,0,2,1,2,IF_Q2,1
921,8.8,1.73,0.991,52,3.817,0.0048,Q1,PQ1,W,0,2,1,2,IF_Q2,1
957,6.4,1.42,0.803,196,3.847,0.1247,Q2,PQ1,W,3,3,1,0,IF_Q2,2
203,7.9,1.223,1.062,69,3.848,0.00237,Q1,PQ1,W,2,2,1,2,IF_Q2,3
265,6.7,2.406,1.113,98,3.853,0.00197,Q1,PQ1,W,0,2,1,2,IF_Q2,1
731,6.3,1.524,1.159,135,3.86,0.00417,Q1,PQ1,W,0,2,1,2,IF_Q2,1
665,9.1,2.271,1.446,107,3.862,0.0049,Q1,PQ1,W,0,2,1,2,IF_Q2,1
722,6.7,2.087,1.556,52,3.87,0.00041,Q1,PQ1,W,0,2,1,2,IF_Q2,1
451,3.6,0.91,0.594,90,3.871,0.00637,Q2,PQ1,W,2,0,2,1,IF_Q2,3
762,5.0,1.498,0.811,61,3.882,0.00084,Q2,PQ1,W,2,0,2,2,IF_Q2,3
162,8.8,0.959,1.425,48,3.908,0.00152,Q1,PQ1,W,2,2,1,2,IF_Q2,3
769,4.6,2.103,3.615,145,3.924,0.01151,Q1,PQ2,W,0,2,1,0,IF_Q2,1
695,7.6,1.602,1.131,118,3.951,0.00502,Q1,PQ1,W,0,2,1,2,IF_Q2,1
290,6.3,1.432,1.175,59,3.989,0.00161,Q1,PQ1,W,2,0,1,2,IF_Q2,3
764,4.9,1.205,0.872,37,4.0,0.00051,Q2,PQ1,W,2,0,2,1,IF_Q2,3
745,5.8,1.468,0.901,55,4.04,0.00055,Q2,PQ1,W,2,0,1,2,IF_Q2,3
696,7.6,1.005,0.616,70,4.05,0.00228,Q2,PQ1,W,2,0,2,1,IF_Q2,3
688,7.8,1.702,1.32,125,4.057,0.00772,Q1,PQ1,W,0,2,1,2,IF_Q2,1
728,6.4,1.483,0.933,35,4.07,0.0016,Q2,PQ1,W,2,0,2,2,IF_Q2,3
403,4.1,0.947,0.701,32,4.079,0.00124,Q2,PQ1,W,2,0,2,1,IF_Q2,3
182,8.5,1.25,0.908,47,4.085,0.00404,Q2,PQ1,W,2,0,1,2,IF_Q2,3
916,9.2,2.675,0.82,95,4.106,0.00143,Q2,PQ1,W,0,2,1,2,IF_Q2,1
237,7.4,1.636,1.084,127,4.124,0.00338,Q1,PQ1,W,0,2,1,2,IF_Q2,1
303,5.9,1.595,1.579,18,4.127,0.00138,Q1,PQ1,X,2,0,1,2,IF_Q2,3
1081,6.6,1.114,0.89,161,4.131,0.01763,Q2,PQ1,W,0,2,1,2,IF_Q2,1
962,6.0,2.008,1.566,60,4.157,0.00239,Q1,PQ1,W,0,2,1,2,IF_Q2,1
726,6.4,1.316,0.733,132,4.175,0.00578,Q2,PQ1,W,0,2,1,2,IF_Q2,1
715,6.9,0.943,0.763,104,4.179,0.00301,Q2,PQ1,W,2,0,1,2,IF_Q2,3
661,9.3,2.532,1.144,38,4.195,0.00062,Q1,PQ1,W,0,2,1,2,IF_Q2,1
931,7.5,1.554,1.011,73,4.199,0.00285,Q1,PQ1,W,0,2,1,2,IF_Q2,1
647,10.4,3.188,1.53,76,4.23,0.00107,Q1,PQ1,W,0,2,1,2,IF_Q2,1
747,5.7,2.902,1.343,57,4.235,0.00089,Q1,PQ1,W,0,2,1,2,IF_Q2,1
929,7.8,2.769,1.722,91,4.243,0.00248,Q1,PQ1,W,0,2,1,2,IF_Q2,1
1075,9.3,1.764,0.92,86,4.255,0.00785,Q2,PQ1,W,0,2,1,2,IF_Q2,1
719,6.7,1.625,1.008,41,4.261,0.00144,Q1,PQ1,W,2,0,1,2,IF_Q2,3
944,6.9,1.791,0.656,10,4.271,0.00191,Q2,PQ1,X,2,0,2,2,IF_Q2,3
252,7.2,1.681,1.495,124,4.279,0.01222,Q1,PQ1,W,0,2,1,2,IF_Q2,1
192,8.0,2.041,2.206,63,4.321,0.02401,Q1,PQ1,W,0,2,1,2,IF_Q2,1
709,7.2,1.889,1.279,64,4.345,0.00241,Q1,PQ1,W,0,2,1,2,IF_Q2,1
196,7.9,1.584,2.588,49,4.347,0.01112,Q1,PQ1,W,0,2,1,2,IF_Q2,1
668,9.0,2.228,1.437,77,4.373,0.00578,Q1,PQ1,W,0,2,1,2,IF_Q2,1
219,7.7,1.32,1.003,49,4.377,0.0051,Q2,PQ1,W,2,0,1,2,IF_Q2,3
261,6.9,1.46,1.413,109,4.391,0.00706,Q1,PQ1,W,0,2,1,2,IF_Q2,1
1054,1.9,0.827,0.316,27,4.397,0.0004,Q3,PQ3,X,2,0,2,1,IF_Q2,3
678,8.2,1.557,0.868,50,4.407,0.0016,Q2,PQ1,W,0,2,1,2,IF_Q2,1
685,8.1,2.4,1.503,78,4.418,0.00463,Q1,PQ1,W,0,2,1,2,IF_Q2,1
708,7.2,1.409,1.095,59,4.42,0.00257,Q1,PQ1,W,0,2,1,2,IF_Q2,1
789,4.2,1.647,0.643,31,4.426,0.00168,Q2,PQ2,W,2,0,2,1,IF_Q2,3
700,7.4,2.044,1.288,51,4.433,0.00185,Q1,PQ1,W,0,2,1,2,IF_Q2,1
222,7.6,1.715,1.066,100,4.452,0.00479,Q1,PQ1,W,0,2,1,2,IF_Q2,1
255,7.1,1.898,1.338,174,4.462,0.00681,Q1,PQ1,W,0,2,1,2,IF_Q2,1
960,6.2,1.866,1.203,74,4.497,0.00275,Q1,PQ1,W,0,2,1,2,IF_Q2,1
334,5.4,1.436,0.868,60,4.498,0.00338,Q2,PQ1,W,2,0,1,2,IF_Q2,3
102,11.8,1.801,1.376,67,4.508,0.00382,Q1,PQ1,W,0,2,1,2,IF_Q2,1
735,6.2,2.025,1.445,30,4.51,0.00158,Q1,PQ1,W,0,2,1,2,IF_Q2,1
332,5.6,2.561,1.784,156,4.521,0.00713,Q1,PQ1,W,0,2,1,0,IF_Q2,1
140,9.3,1.76,1.095,56,4.541,0.0024,Q1,PQ1,W,0,2,1,2,IF_Q2,1
146,9.2,1.633,1.289,92,4.542,0.00515,Q1,PQ1,W,0,2,1,2,IF_Q2,1
256,7.1,1.361,1.102,43,4.546,0.00211,Q1,PQ1,W,2,0,1,2,IF_Q2,3
741,6.1,0.901,0.681,54,4.581,0.00258,Q2,PQ1,W,2,0,2,1,IF_Q2,3
720,6.7,1.352,0.903,50,4.606,0.00295,Q2,PQ1,W,2,0,1,2,IF_Q2,3
711,7.1,1.933,2.069,260,4.645,0.04576,Q1,PQ1,W,0,2,3,0,IF_Q2,1
658,9.6,2.707,1.585,84,4.657,0.00177,Q1,PQ1,W,0,2,1,2,IF_Q2,1
682,8.1,1.066,1.39,25,4.671,0.00239,Q1,PQ1,W,2,0,1,2,IF_Q2,3
267,6.7,1.591,1.176,55,4.674,0.00098,Q1,PQ1,W,0,2,1,2,IF_Q2,1
804,4.0,1.387,0.836,15,4.687,0.00256,Q2,PQ2,W,2,0,2,1,IF_Q2,3
213,7.8,2.633,1.009,51,4.697,0.00191,Q1,PQ1,W,0,2,1,2,IF_Q2,1
871,2.0,1.233,1.093,13,4.708,0.00568,Q1,PQ3,W,2,0,2,1,IF_Q2,3
920,8.8,2.238,1.284,186,4.717,0.02144,Q1,PQ1,W,0,2,1,0,IF_Q2,1
670,8.9,1.701,1.295,144,4.729,0.0172,Q1,PQ1,W,0,2,1,2,IF_Q2,1
924,8.6,1.483,1.368,33,4.747,0.00258,Q1,PQ1,W,0,2,1,2,IF_Q2,1
165,8.7,2.246,1.398,27,4.754,0.00148,Q1,PQ1,W,0,2,1,2,IF_Q2,1
178,8.6,1.786,1.479,163,4.757,0.01284,Q1,PQ1,W,0,2,1,2,IF_Q2,1
246,7.2,1.698,1.618,57,4.758,0.00519,Q1,PQ1,W,0,2,1,2,IF_Q2,1
280,6.6,1.471,1.96,191,4.779,0.06475,Q1,PQ1,W,0,2,1,0,IF_Q2,1
175,8.6,1.442,1.359,88,4.802,0.01455,Q1,PQ1,W,0,2,1,2,IF_Q2,1
136,9.5,1.557,1.397,98,4.816,0.00489,Q1,PQ1,W,0,2,1,2,IF_Q2,1
90,12.5,2.29,2.013,25,4.851,0.00203,Q1,PQ1,W,0,2,1,2,IF_Q2,1
1073,10.5,2.109,2.682,275,4.875,0.03705,Q1,PQ1,W,0,1,3,0,IF_Q2,1
653,9.9,1.928,1.916,139,4.886,0.00612,Q1,PQ1,W,0,2,1,0,IF_Q2,1
673,8.6,1.515,1.348,56,4.89,0.0029,Q1,PQ1,W,0,2,1,2,IF_Q2,1
702,7.4,1.621,0.978,63,4.903,0.00475,Q2,PQ1,W,0,2,1,2,IF_Q2,1
123,10.2,1.783,1.35,25,4.908,0.00118,Q1,PQ1,W,0,2,1,2,IF_Q2,1
704,7.3,2.042,0.963,76,4.92,0.0049,Q2,PQ1,W,0,2,1,2,IF_Q2,1
908,11.5,1.742,1.131,89,4.92,0.00946,Q1,PQ1,W,0,2,1,2,IF_Q2,1
680,8.2,2.294,1.502,115,4.93,0.00946,Q1,PQ1,W,0,2,1,2,IF_Q1,1
228,7.6,1.873,1.317,45,4.96,0.00318,Q1,PQ1,W,0,2,1,2,IF_Q1,1
707,7.2,1.761,1.165,49,4.965,0.0049,Q1,PQ1,W,0,2,1,2,IF_Q1,1
190,8.2,1.139,1.713,22,4.98,0.00323,Q1,PQ1,W,0,2,1,2,IF_Q1,1
114,10.9,2.131,1.678,31,5.009,0.00312,Q1,PQ1,W,0,2,1,2,IF_Q1,1
208,7.8,1.729,1.211,72,5.019,0.00852,Q2,PQ1,W,0,2,1,2,IF_Q1,1
323,5.7,1.438,1.365,29,5.033,0.00434,Q1,PQ1,W,2,0,1,2,IF_Q1,3
209,7.8,1.536,1.301,109,5.047,0.00868,Q1,PQ1,W,0,2,1,2,IF_Q1,1
1078,6.9,1.855,1.211,84,5.076,0.00872,Q1,PQ1,W,0,2,1,2,IF_Q1,1
904,12.8,3.128,2.229,82,5.15,0.00173,Q1,PQ1,W,0,2,3,0,IF_Q1,1
927,8.2,1.753,1.144,121,5.152,0.00565,Q1,PQ1,W,0,2,1,2,IF_Q1,1
235,7.5,2.992,2.393,221,5.177,0.03166,Q1,PQ1,W,0,2,3,0,IF_Q1,1
703,7.3,2.346,1.694,109,5.218,0.01656,Q1,PQ1,W,0,2,1,2,IF_Q1,1
104,11.4,2.431,1.753,148,5.226,0.01712,Q1,PQ1,W,0,2,3,0,IF_Q1,1
118,10.3,2.308,1.434,73,5.261,0.00359,Q1,PQ1,W,0,2,1,2,IF_Q1,1
187,8.3,2.022,1.084,56,5.274,0.00092,Q1,PQ1,W,0,2,1,2,IF_Q1,1
718,6.8,1.846,0.993,45,5.293,0.00195,Q1,PQ1,W,0,2,1,2,IF_Q1,1
943,7.1,1.642,1.047,81,5.31,0.00243,Q1,PQ1,W,0,2,1,2,IF_Q1,1
277,6.6,1.295,1.858,19,5.31,0.00325,Q1,PQ1,W,0,2,1,2,IF_Q1,1
840,3.1,2.003,0.566,33,5.318,0.00039,Q2,PQ2,X,2,0,2,1,IF_Q1,3
186,8.4,3.251,1.555,44,5.339,0.00198,Q1,PQ1,W,0,2,1,2,IF_Q1,1
686,7.9,2.076,2.248,85,5.346,0.0037,Q1,PQ1,W,0,2,1,2,IF_Q1,1
905,12.7,3.417,3.623,65,5.387,0.00146,Q1,PQ1,W,0,2,3,0,IF_Q1,1
172,8.6,2.53,1.615,104,5.406,0.00367,Q1,PQ1,W,0,2,1,2,IF_Q1,1
250,7.2,2.348,1.64,153,5.414,0.00574,Q1,PQ1,W,0,2,1,0,IF_Q1,1
152,9.1,2.441,3.816,168,5.49,0.00729,Q1,PQ1,W,0,2,3,0,IF_Q1,1
142,9.3,1.803,1.592,139,5.493,0.01108,Q1,PQ1,W,0,2,1,2,IF_Q1,1
243,7.2,1.922,0.995,24,5.532,0.00173,Q1,PQ1,W,0,2,1,2,IF_Q1,1
716,6.9,1.463,1.205,34,5.576,0.00116,Q1,PQ1,W,2,2,1,2,IF_Q1,3
914,9.5,3.052,2.688,58,5.611,0.00132,Q1,PQ1,W,0,2,3,0,IF_Q1,1
134,10.0,1.991,1.365,82,5.622,0.00342,Q1,PQ1,W,0,2,1,2,IF_Q1,1
