,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,Scopus_Quartile,HJRS Category,Kmeanslabels,PCA2_labels,PCA3_labels,tSNE2_labels,IF_Quartile,cluster_labels
866,2.1,0.931,0.427,40,1.013,0.00026,Q3,PQ2,X,2,0,2,3,IF_Q4,3
577,1.8,0.985,0.666,23,1.015,0.00187,Q2,PQ2,X,2,0,2,3,IF_Q4,3
543,2.3,0.974,0.42,56,1.019,0.00084,Q3,PQ2,X,2,0,2,3,IF_Q4,3
514,2.7,0.771,0.456,40,1.029,0.00045,Q3,PQ3,X,2,0,2,3,IF_Q4,3
455,3.6,1.008,0.558,65,1.039,0.00115,Q3,PQ2,X,2,0,2,1,IF_Q4,3
481,3.1,1.305,0.861,96,1.043,0.00232,Q2,PQ2,W,2,0,2,1,IF_Q4,3
1035,2.7,0.717,0.39,54,1.056,0.00062,Q2,PQ2,X,2,0,2,3,IF_Q4,3
544,2.3,0.647,0.389,33,1.059,0.00064,Q3,PQ3,X,2,0,2,3,IF_Q4,3
490,3.0,1.179,0.615,17,1.088,0.00089,Q2,PQ1,X,2,0,2,3,IF_Q4,3
551,2.2,0.552,0.325,58,1.094,0.00044,Q3,PQ1,X,2,0,2,3,IF_Q4,3
1030,2.8,1.274,0.502,54,1.1,0.00059,Q3,PQ2,X,2,0,2,3,IF_Q4,3
547,2.3,0.443,0.315,23,1.14,0.00078,Q3,PQ3,X,2,0,2,3,IF_Q4,3
595,1.5,0.568,0.269,39,1.142,0.00046,Q4,PQ2,X,2,0,2,3,IF_Q4,3
441,3.7,0.825,0.452,45,1.15,0.00053,Q2,PQ2,X,2,0,2,3,IF_Q4,3
395,4.2,1.411,0.93,56,1.15,0.00141,Q2,PQ2,W,2,0,2,1,IF_Q4,3
1099,1.8,0.974,0.718,77,1.151,0.0037,Q2,PQ3,W,2,0,2,3,IF_Q4,3
578,1.8,1.411,0.514,15,1.155,0.00102,Q3,PQ2,X,2,0,2,3,IF_Q4,3
478,3.1,0.767,0.385,68,1.166,0.00199,Q3,PQ1,X,2,0,2,3,IF_Q4,3
1053,1.9,0.562,0.35,26,1.17,0.00023,Q3,PQ3,X,2,0,2,3,IF_Q4,3
492,3.0,0.532,0.316,28,1.18,0.00032,Q3,PQ2,X,2,0,2,3,IF_Q4,3
857,2.4,0.363,0.288,45,1.204,0.00055,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1046,2.2,0.537,0.243,48,1.205,0.00166,Q4,PQ3,X,2,0,2,3,IF_Q4,3
1013,3.4,0.941,0.451,45,1.229,0.00056,Q3,PQ2,X,2,0,2,3,IF_Q4,3
330,5.6,1.771,0.594,46,1.237,0.00031,Q2,PQ1,X,2,0,2,1,IF_Q4,3
553,2.2,1.063,0.543,76,1.24,0.00198,Q2,PQ3,X,2,0,2,1,IF_Q4,3
869,2.1,0.776,0.472,34,1.247,0.00103,Q3,PQ2,X,2,0,2,3,IF_Q4,3
989,4.2,1.151,0.507,56,1.256,0.00075,Q2,PQ2,X,2,0,2,1,IF_Q4,3
503,2.8,0.771,0.429,57,1.261,0.00148,Q3,PQ3,X,2,0,2,3,IF_Q4,3
545,2.3,0.993,0.523,49,1.262,0.00324,Q2,PQ2,X,2,0,2,3,IF_Q4,3
538,2.4,0.487,0.36,34,1.264,0.0004,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1038,2.6,0.583,0.338,30,1.265,0.00041,Q3,PQ3,X,2,0,2,3,IF_Q4,3
867,2.1,0.581,0.318,32,1.278,0.00012,Q3,PQ2,X,2,0,2,3,IF_Q4,3
863,2.2,0.759,0.286,34,1.286,0.00032,Q3,PQ2,X,2,0,2,3,IF_Q4,3
356,4.8,1.73,0.938,24,1.296,0.0012,Q2,PQ1,W,2,0,2,1,IF_Q4,3
859,2.2,1.296,0.422,18,1.299,0.00171,Q3,PQ1,X,2,0,2,3,IF_Q4,3
1059,1.7,0.562,0.251,19,1.299,0.00019,Q3,PQ3,Y,2,0,2,3,IF_Q4,3
